,index_x,PlayerName,Average,StandardDeviation,Average_STD_Ratio,GamesPlayed,level_0,index_y,Unnamed: 0,Name,Pos.,Height,From,To,Seasons
165,178,Cameron Johnson,46.76816809832066,16.36667528311196,2.8575240413414105,56,242,242,10,Cameron Johnson,PF/SF,2.03/ 6'8'',2019,2021,2
166,179,Devin Booker,46.72214760947361,11.8095441238807,3.9563040807810945,63,53,53,31,Devin Booker,SG,1.96/ 6'5'',2015,2021,6
167,180,Aleksej Pokusevski,46.66181551800846,25.90509976469807,1.8012598269008178,44,386,386,10,Aleksej Pokusevski,SF/PF,2.13/ 7'0'',2020,2021,1
168,181,Dwight Howard,46.63010012456208,22.87235192404324,2.0387103293712823,65,217,217,36,Dwight Howard,C,2.11/ 6'11'',2004,2021,17
169,182,Rajon Rondo,46.575462081839234,25.776797565972636,1.8068754259575845,44,416,416,15,Rajon Rondo,PG,1.85/ 6'1'',2006,2021,15
170,183,Jaren Jackson Jr.,46.532626818361884,11.820469312089479,3.9366141554777583,11,236,236,4,Jaren Jackson Jr.,PF/C,2.11/ 6'11'',2018,2021,3
171,184,Jay Scrubb,46.51785714285714,48.168396249027495,0.9657339825549272,4,427,427,5,Jay Scrubb,SF/SG,1.98/ 6'6'',2020,2021,1
172,185,Alex Caruso,46.48614863401985,18.81692403982825,2.4704435504775595,56,89,89,9,Alex Caruso,SG/PG,1.96/ 6'5'',2017,2021,4
173,186,Coby White,46.47203875720277,16.497407582259065,2.8169297827846442,68,495,495,15,Coby White,PG/SG,1.93/ 6'4'',2019,2021,2
174,187,Marcus Morris,46.46238915961002,20.74049978673298,2.2401769309980897,56,338,338,39,Marcus Morris,PF/SF,2.03/ 6'8'',2011,2021,10
175,188,Lauri Markkanen,46.38773300564088,17.180302814811146,2.700053282276841,51,304,304,5,Lauri Markkanen,PF/C,2.13/ 7'0'',2017,2021,4
176,189,Duncan Robinson,46.387671982191975,16.313828787069355,2.8434570809618713,71,411,411,10,Duncan Robinson,SG/SF,2.01/ 6'7'',2018,2021,3
177,190,Isaiah Roby,46.34266135754789,22.468901257498153,2.062524590163605,60,415,415,14,Isaiah Roby,C/PF,2.03/ 6'8'',2019,2021,2
178,191,Monte Morris,46.325584465155956,16.80304437889055,2.7569756658712508,45,340,340,41,Monte Morris,PG/SG,1.88/ 6'2'',2017,2021,4
179,192,Jarrett Allen,46.31920664013877,17.55701999850238,2.638215747552251,61,7,7,7,Jarrett Allen,C,2.11/ 6'11'',2017,2021,4
180,193,Ricky Rubio,46.30155574874978,18.840037836102056,2.4576147962943486,67,420,420,19,Ricky Rubio,PG,1.91/ 6'3'',2011,2021,10
181,195,Sterling Brown,46.215966714816716,25.426321651630133,1.8176426518954902,50,70,70,48,Sterling Brown,SG/SF,1.96/ 6'5'',2017,2021,4
182,196,Ivica Zubac,46.21307811510785,18.83573678161417,2.453478653418914,70,520,520,1,Ivica Zubac,C,2.13/ 7'0'',2016,2021,5
183,197,Tristan Thompson,46.18334691478471,15.574776527302104,2.96526546200048,50,460,460,11,Tristan Thompson,C/PF,2.06/ 6'9'',2011,2021,10
184,198,Kevin Huerter,46.117851643367416,16.70106288803164,2.761372252326318,67,219,219,38,Kevin Huerter,SF/SG,2.01/ 6'7'',2018,2021,3
185,201,Ish Smith,46.04225722321533,20.113751739740866,2.2890934430817684,43,439,439,17,Ish Smith,PG,1.83/ 6'0'',2010,2021,11
186,202,Seth Curry,46.0405556789045,19.637787998825246,2.3444878660294477,54,111,111,31,Seth Curry,SG/PG,1.88/ 6'2'',2013,2021,7
187,203,Robin Lopez,46.01139851548637,24.077843828084166,1.9109434733445325,69,293,293,18,Robin Lopez,C,2.13/ 7'0'',2008,2021,13
188,204,Keldon Johnson,45.99001817659762,20.05290125622237,2.293434630179861,67,246,246,14,Keldon Johnson,PF/SF,1.96/ 6'5'',2019,2021,2
189,206,Eric Bledsoe,45.89595576810432,18.368817179679258,2.4985798115992637,70,47,47,25,Eric Bledsoe,PG/SG,1.85/ 6'1'',2010,2021,11
190,208,Will Barton,45.83279956718823,18.831679562218408,2.4338136922816798,54,32,32,10,Will Barton,SG/SF,1.96/ 6'5'',2012,2021,9
191,209,Gary Trent Jr.,45.776170733924644,21.81259480124555,2.098611886895305,58,469,469,20,Gary Trent Jr.,SG/SF,1.96/ 6'5'',2018,2021,3
192,210,JaMychal Green,45.7711547376054,20.26279853339605,2.25887626835789,56,175,175,23,JaMychal Green,PF/C,2.03/ 6'8'',2014,2021,7
193,211,Alize Johnson,45.76751992663094,59.073152627790996,0.7747600710428241,15,241,241,9,Alize Johnson,SF/PF,2.01/ 6'7'',2018,2021,3
194,212,Pat Connaughton,45.752517435856134,20.827221371400782,2.196765311127,65,102,102,22,Pat Connaughton,SF/SG,1.96/ 6'5'',2015,2021,6
195,213,Nicolas Batum,45.70780393495519,17.627877663371635,2.592927226283733,65,34,34,12,Nicolas Batum,PF/SF,2.04/ 6'8'',2008,2021,13
196,214,Jarred Vanderbilt,45.677908135846,26.75444232686556,1.7073018221717289,63,474,474,2,Jarred Vanderbilt,PF/C,2.06/ 6'9'',2018,2021,3
197,215,Drew Eubanks,45.67269117386582,27.05031593333215,1.688434666952879,52,141,141,6,Drew Eubanks,C,2.06/ 6'9'',2018,2021,3
198,216,Jordan Poole,45.647146007880885,28.913555594813815,1.578745507732316,51,387,387,11,Jordan Poole,PG/SG,1.93/ 6'4'',2019,2021,2
199,217,Patrick Williams,45.62634729798477,20.604537834111483,2.2143834365674957,70,504,504,24,Patrick Williams,PF/SF,2.03/ 6'8'',2020,2021,1
200,218,Chuma Okeke,45.48755300740418,18.091237392984283,2.514341723526556,45,362,362,2,Chuma Okeke,PF/SF,2.03/ 6'8'',2020,2021,1
201,219,Facundo Campazzo,45.47126973807395,25.413456368922155,1.789259559108232,63,82,82,2,Facundo Campazzo,PG,1.81/ 5'11'',2020,2021,1
202,220,Dennis Smith Jr.,45.46654177471011,22.707121222854074,2.0023032126568876,23,441,441,19,Dennis Smith Jr.,PG,1.88/ 6'2'',2017,2021,4
203,221,Mo Bamba,45.45192437558456,26.034213017228375,1.7458535944799385,45,26,26,4,Mo Bamba,C,2.13/ 7'0'',2018,2021,3
204,222,Patty Mills,45.35515330133467,18.178208462615995,2.495028781004951,66,327,327,28,Patty Mills,PG/SG,1.85/ 6'1'',2009,2021,12
205,223,Kenrich Williams,45.33421804082756,24.231981491987113,1.8708423847145312,65,502,502,22,Kenrich Williams,SF,1.98/ 6'6'',2018,2021,3
206,224,DeAndre Jordan,45.298889576572755,19.90112659850936,2.276197247042574,54,256,256,24,DeAndre Jordan,C,2.11/ 6'11'',2008,2021,13
207,225,Gorgui Dieng,45.27387236805622,30.32550104748195,1.4929307284047493,36,121,121,8,Gorgui Dieng,C,2.08/ 6'10'',2013,2021,8
208,226,Maxi Kleber,45.26995143017339,19.039356756144308,2.3777038273923856,49,265,265,7,Maxi Kleber,PF/C,2.07/ 6'9'',2017,2021,4
209,227,Furkan Korkmaz,45.258176794376304,26.018660173013714,1.7394507055101023,52,269,269,11,Furkan Korkmaz,SG/SF,2.01/ 6'7'',2017,2021,4
210,228,DeAndre' Bembry,45.24617993677126,28.21748063806651,1.6034804990964486,51,39,39,17,DeAndre' Bembry,SF,1.96/ 6'5'',2016,2021,5
211,229,John Collins,45.19955413386867,16.098400354295652,2.8077046873671363,60,99,99,19,John Collins,PF/C,2.06/ 6'9'',2017,2021,4
212,230,Wayne Ellington,45.15297865609715,26.39911199486899,1.7103976324988968,46,139,139,4,Wayne Ellington,SG,1.93/ 6'4'',2009,2021,12
213,231,Robert Covington,45.14447590645336,16.116828173838588,2.801076950099492,69,106,106,26,Robert Covington,PF/SF,2.01/ 6'7'',2013,2021,8
214,232,Serge Ibaka,45.11598229601341,14.874046226785723,3.033201699667096,39,225,225,0,Serge Ibaka,C,2.13/ 7'0'',2009,2021,12
215,233,Michael Carter-Williams,45.00285754896356,19.503425939322725,2.3074334575357343,31,88,88,8,Michael Carter-Williams,PG/SG,1.96/ 6'5'',2013,2021,8
216,234,Jeff Green,44.983219336572226,20.143612306814447,2.233125749811751,65,177,177,25,Jeff Green,PF,2.03/ 6'8'',2007,2021,13
217,235,Eric Gordon,44.94267501675319,16.22864265087313,2.7693428208141113,26,169,169,17,Eric Gordon,SG/PG,1.91/ 6'3'',2008,2021,13
218,236,Torrey Craig,44.876734716246624,28.093233340251526,1.597421491955786,48,107,107,27,Torrey Craig,SF,2.01/ 6'7'',2017,2021,4
219,237,Kevin Love,44.854736247102345,19.890670232315557,2.2550640940308133,24,295,295,20,Kevin Love,PF/C,2.03/ 6'8'',2008,2021,13
220,238,Terrence Ross,44.743864753013106,18.29316587781571,2.4459333639604943,45,418,418,17,Terrence Ross,SF/SG,1.98/ 6'6'',2012,2021,9
221,239,Markelle Fultz,44.73411172968286,18.640366307714583,2.3998515367784914,8,151,151,9,Markelle Fultz,PG/SG,1.91/ 6'3'',2017,2021,4
222,240,Steven Adams,44.55831511616582,17.273841379348706,2.579525546033806,58,1,1,1,Steven Adams,C,2.11/ 6'11'',2013,2021,8
223,241,Jordan Nwora,44.54775980758964,49.92755315497094,0.8922480072139152,28,359,359,12,Jordan Nwora,SF/PF,2.01/ 6'7'',2020,2021,1
224,242,Immanuel Quickley,44.54511827765505,26.840076664445537,1.659649442680728,62,400,400,1,Immanuel Quickley,PG/SG,1.91/ 6'3'',2020,2021,1
225,243,Kent Bazemore,44.45981444951236,26.769435564406415,1.6608424313819936,67,35,35,13,Kent Bazemore,SF/SG,1.93/ 6'4'',2012,2021,9
226,244,Raul Neto,44.45291681179297,22.92965117769956,1.938665201109821,62,350,350,3,Raul Neto,PG/SG,1.85/ 6'1'',2015,2021,6
227,245,Reggie Jackson,44.393001410375874,23.240824367998485,1.910130239248438,65,235,235,3,Reggie Jackson,PG/SG,1.91/ 6'3'',2011,2021,10
228,246,George Hill,44.38521613258767,20.484185619340042,2.1668040388523715,29,205,205,24,George Hill,PG/SG,1.91/ 6'3'',2008,2021,13
229,247,Joe Harris,44.32619134283043,15.763809200613938,2.81189595602972,66,190,190,9,Joe Harris,SF/SG,1.98/ 6'6'',2014,2021,7
230,248,Blake Griffin,44.32288502943922,16.724950080093233,2.650105669504763,42,179,179,27,Blake Griffin,PF/C,2.06/ 6'9'',2010,2021,11
231,249,Danilo Gallinari,44.319114380187834,24.499120724969416,1.8090083671867436,49,154,154,2,Danilo Gallinari,PF/SF,2.08/ 6'10'',2008,2021,12
