"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"212","Marquise Goodwin","CHI","wr","10","GB","5.5","0","0","0","0","0","0","0.3095","1.1662","0.0119","3.3993","1.9698","26.3746","0.1225","0.0244","0.0122","0.0084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Rashod Bateman","BLT","wr","8","LAC","5.4","0","0","0","0","0","0","0","0","0","2.8229","1.8376","26.6496","0.1511","0.02","0.01","0.0053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Darrell Daniels","ARZ","te","12","@CLV","2.9","0","0","0","0","0","0","0","0","0","1.6616","1.1155","11.4534","0.1091","0.0121","0.0061","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Marlon Mack","IND","rb","14","HST","2.1","0","0","0","0","0","0","1.9843","8.9312","0.0786","0.4677","0.3808","2.811","0.0181","0.0114","0.0057","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Tyler Johnson","TB","wr","9","@PHI","5.3","0","0","0","0","0","0","0.0488","0.2867","0.0016","2.5933","1.8329","24.1942","0.1621","0.0195","0.0097","0.0076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Kyle Rudolph","NYG","te","10","LA","2.8","0","0","0","0","0","0","0","0","0","1.4799","1.1209","10.1343","0.1105","0.0131","0.0065","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Jacob Hollister","JAX","te","7","MIA","2.8","0","0","0","0","0","0","0","0","0","1.7848","1.2774","10.8881","0.0679","0.0112","0.0056","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Justin Jackson","LAC","rb","7","@BLT","2","0","0","0","0","0","0","1.8856","8.7212","0.036","0.6883","0.5686","3.3161","0.0092","0.018","0.009","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Demetric Felton","CLV","rb","13","ARZ","2","0","0","0","0","0","0","0.051","0.2407","0.0017","1.2464","1.0021","7.7397","0.032","0.0131","0.0066","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Jaret Patterson","WAS","rb","9","KC","2","0","0","0","0","0","0","2.0641","10.0142","0.0732","0.3318","0.2653","2.0125","0.0086","0.0196","0.0098","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
